DATETIME,asset,protocol,attack,pressure,flow
2026-01-01T00:00:00Z,BATADAL-PLANT,water-process,0,0.41,0.62
2026-01-01T00:00:01Z,BATADAL-PLANT,water-process,0,0.42,0.61
2026-01-01T00:00:02Z,BATADAL-PLANT,water-process,0,0.43,0.60
2026-01-01T00:00:03Z,BATADAL-PLANT,water-process,1,0.81,0.91
2026-01-01T00:00:04Z,BATADAL-PLANT,water-process,1,0.86,0.95
2026-01-01T00:00:05Z,BATADAL-PLANT,water-process,0,0.44,0.63
2026-01-01T00:00:06Z,BATADAL-PLANT,water-process,0,0.43,0.62
2026-01-01T00:00:07Z,BATADAL-PLANT,water-process,0,0.42,0.61
2026-01-01T00:00:08Z,BATADAL-PLANT,water-process,1,0.79,0.90
2026-01-01T00:00:09Z,BATADAL-PLANT,water-process,1,0.84,0.94
2026-01-01T00:00:10Z,BATADAL-PLANT,water-process,0,0.45,0.64
2026-01-01T00:00:11Z,BATADAL-PLANT,water-process,0,0.44,0.63
2026-01-01T00:00:12Z,BATADAL-PLANT,water-process,0,0.43,0.62
2026-01-01T00:00:13Z,BATADAL-PLANT,water-process,0,0.42,0.61
2026-01-01T00:00:14Z,BATADAL-PLANT,water-process,0,0.41,0.60
2026-01-01T00:00:15Z,BATADAL-PLANT,water-process,0,0.40,0.59
2026-01-01T00:00:16Z,BATADAL-PLANT,water-process,0,0.42,0.60
2026-01-01T00:00:17Z,BATADAL-PLANT,water-process,0,0.43,0.61
2026-01-01T00:00:18Z,BATADAL-PLANT,water-process,0,0.44,0.62
2026-01-01T00:00:19Z,BATADAL-PLANT,water-process,0,0.45,0.63
2026-01-01T00:00:20Z,BATADAL-PLANT,water-process,0,0.44,0.62
2026-01-01T00:00:21Z,BATADAL-PLANT,water-process,0,0.43,0.61
2026-01-01T00:00:22Z,BATADAL-PLANT,water-process,0,0.42,0.60
2026-01-01T00:00:23Z,BATADAL-PLANT,water-process,0,0.41,0.59
2026-01-01T00:00:24Z,BATADAL-PLANT,water-process,0,0.40,0.58
2026-01-01T00:00:25Z,BATADAL-PLANT,water-process,0,0.41,0.59
2026-01-01T00:00:26Z,BATADAL-PLANT,water-process,0,0.42,0.60
2026-01-01T00:00:27Z,BATADAL-PLANT,water-process,0,0.43,0.61
2026-01-01T00:00:28Z,BATADAL-PLANT,water-process,0,0.44,0.62
2026-01-01T00:00:29Z,BATADAL-PLANT,water-process,0,0.45,0.63
2026-01-01T00:00:30Z,BATADAL-PLANT,water-process,0,0.44,0.62
2026-01-01T00:00:31Z,BATADAL-PLANT,water-process,0,0.43,0.61
2026-01-01T00:00:32Z,BATADAL-PLANT,water-process,0,0.42,0.60
2026-01-01T00:00:33Z,BATADAL-PLANT,water-process,0,0.41,0.59
2026-01-01T00:00:34Z,BATADAL-PLANT,water-process,0,0.40,0.58
2026-01-01T00:00:35Z,BATADAL-PLANT,water-process,0,0.41,0.59
2026-01-01T00:00:36Z,BATADAL-PLANT,water-process,0,0.42,0.60
2026-01-01T00:00:37Z,BATADAL-PLANT,water-process,0,0.43,0.61
2026-01-01T00:00:38Z,BATADAL-PLANT,water-process,0,0.44,0.62
2026-01-01T00:00:39Z,BATADAL-PLANT,water-process,0,0.45,0.63
