ts,device,proto,type,packet_rate,command_anomaly
2026-01-01T00:00:00Z,TON-IoT-PLC,iiot,normal,0.22,0.18
2026-01-01T00:00:01Z,TON-IoT-PLC,iiot,normal,0.24,0.19
2026-01-01T00:00:02Z,TON-IoT-PLC,iiot,normal,0.23,0.20
2026-01-01T00:00:03Z,TON-IoT-PLC,iiot,attack,0.88,0.82
2026-01-01T00:00:04Z,TON-IoT-PLC,iiot,attack,0.94,0.91
2026-01-01T00:00:05Z,TON-IoT-PLC,iiot,normal,0.25,0.20
2026-01-01T00:00:06Z,TON-IoT-PLC,iiot,normal,0.24,0.19
2026-01-01T00:00:07Z,TON-IoT-PLC,iiot,normal,0.23,0.18
2026-01-01T00:00:08Z,TON-IoT-PLC,iiot,attack,0.86,0.80
2026-01-01T00:00:09Z,TON-IoT-PLC,iiot,attack,0.92,0.89
2026-01-01T00:00:10Z,TON-IoT-PLC,iiot,normal,0.24,0.19
2026-01-01T00:00:11Z,TON-IoT-PLC,iiot,normal,0.23,0.18
2026-01-01T00:00:12Z,TON-IoT-PLC,iiot,normal,0.22,0.17
2026-01-01T00:00:13Z,TON-IoT-PLC,iiot,normal,0.24,0.19
2026-01-01T00:00:14Z,TON-IoT-PLC,iiot,normal,0.25,0.20
2026-01-01T00:00:15Z,TON-IoT-PLC,iiot,normal,0.24,0.19
2026-01-01T00:00:16Z,TON-IoT-PLC,iiot,normal,0.23,0.18
2026-01-01T00:00:17Z,TON-IoT-PLC,iiot,normal,0.22,0.17
2026-01-01T00:00:18Z,TON-IoT-PLC,iiot,normal,0.23,0.18
2026-01-01T00:00:19Z,TON-IoT-PLC,iiot,normal,0.24,0.19
2026-01-01T00:00:20Z,TON-IoT-PLC,iiot,normal,0.25,0.20
2026-01-01T00:00:21Z,TON-IoT-PLC,iiot,normal,0.24,0.19
2026-01-01T00:00:22Z,TON-IoT-PLC,iiot,normal,0.23,0.18
2026-01-01T00:00:23Z,TON-IoT-PLC,iiot,normal,0.22,0.17
2026-01-01T00:00:24Z,TON-IoT-PLC,iiot,normal,0.23,0.18
2026-01-01T00:00:25Z,TON-IoT-PLC,iiot,normal,0.24,0.19
2026-01-01T00:00:26Z,TON-IoT-PLC,iiot,normal,0.25,0.20
2026-01-01T00:00:27Z,TON-IoT-PLC,iiot,normal,0.24,0.19
2026-01-01T00:00:28Z,TON-IoT-PLC,iiot,normal,0.23,0.18
2026-01-01T00:00:29Z,TON-IoT-PLC,iiot,normal,0.22,0.17
2026-01-01T00:00:30Z,TON-IoT-PLC,iiot,normal,0.23,0.18
2026-01-01T00:00:31Z,TON-IoT-PLC,iiot,normal,0.24,0.19
2026-01-01T00:00:32Z,TON-IoT-PLC,iiot,normal,0.25,0.20
2026-01-01T00:00:33Z,TON-IoT-PLC,iiot,normal,0.24,0.19
2026-01-01T00:00:34Z,TON-IoT-PLC,iiot,normal,0.23,0.18
2026-01-01T00:00:35Z,TON-IoT-PLC,iiot,normal,0.22,0.17
2026-01-01T00:00:36Z,TON-IoT-PLC,iiot,normal,0.23,0.18
2026-01-01T00:00:37Z,TON-IoT-PLC,iiot,normal,0.24,0.19
2026-01-01T00:00:38Z,TON-IoT-PLC,iiot,normal,0.25,0.20
2026-01-01T00:00:39Z,TON-IoT-PLC,iiot,normal,0.24,0.19
